student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,profile_json,email_valid,email_status,phone_digits,phone_formatted,phone_operator,hobbies,skills_tech_python,skills_tech_excel,skills_tech_sql,skills_soft_count,skills_soft_list,family_siblings,family_income_father,family_income_mother,family_income_total,devices_count,has_laptop,has_phone,latest_device_year,devices_types_str,devices_brands_str,addr_raw,addr_postal,addr_city,addr_district
11,Shawn Baker,19,,,9868509629,Zhangstad,stand,2025-06-10 00:00:00,data science,110,active,37.0,excellent,18300.0,2001-06-06 05:29:47,"Apartment 34, North Samantha district, Tashkent, UZ, 100659",INVALID_JSON_DATA,False,invalid_format,9868509629,+998 86 850 96 29,Unknown,,,,,,,,,,,0,False,False,0,,,"Apartment 34, North Samantha district, Tashkent, UZ, 100659",100659,Tashkent,Samantha
12,,18,femlae,71.0,,Austinside,annalee@@gmail.com,2013-01-14 19:16:00,d.s.,110,inactive,-2.0,average,208.0,2003-05-27 00:00:00,"Apartment 13, Morrismouth district, Tashkent, UZ, 100315","{hobbies:['forward', 'like']}",False,invalid_format,,,,,,,,,,,,,,0,False,False,0,,,"Apartment 13, Morrismouth district, Tashkent, UZ, 100315",100315,Tashkent,Morrismouth
13,,19,fmale,,(223)573-6311x916,Lesliefurt,someonegmail.com,2014-12-24 00:00:00,data science,110,inactive,,excellent,84.0,2010-11-21 00:00:00,"Frankchester 9-kv, dom 20, Tashkent",INVALID_JSON_DATA,False,invalid_format,2235736311916,+998 73 631 19 16,Unknown,,,,,,,,,,,0,False,False,0,,,"Frankchester 9-kv, dom 20, Tashkent",Unknown,Tashkent,Unknown
14,Thomas Prince,20,,,,East Michellestad,aphillips@holland-diaz.org,2012-02-09 00:00:00,PYTHNO,114,inactive,15.5,excellent,210.0,2013-05-14 00:00:00,UZ 100394 Tashkent Stevensborough,"{hobbies:['understand', 'become']}",True,valid,,,,,,,,,,,,,,0,False,False,0,,,UZ 100394 Tashkent Stevensborough,100394,Tashkent,Unknown
15,,21,MALE,73.0,,Michellebury,kevin65@maxwell.info,1971-03-17 08:30:18,python,110,pending,37.0,good,191.0,1984-10-29 14:14:47,"Davidborough 9-kv, dom 29, Tashkent",INVALID_JSON_DATA,True,valid,,,,,,,,,,,,,,0,False,False,0,,,"Davidborough 9-kv, dom 29, Tashkent",Unknown,Tashkent,Unknown
16,Adrian Allen,20,FEMALE,,,Antoniobury,,1999-08-29 00:00:00,PYTHNO,110,pending,37.0,excellent,53.0,1983-10-13 00:00:00,"1965 Jacobs Branch Apt. 418, Timburgh","{'hobbies': ['partner', 'race'], 'skills': {'tech': {'python': 4, 'excel': 4, 'sql': 4}, 'soft': ['onto', 'owner']}, 'family': {'siblings': 3, 'income': {'father': 798, 'mother': 626}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2019}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}",False,missing,,,,"partner, race",4.0,4.0,4.0,2.0,"onto, owner",3.0,798.0,626.0,1424.0,2,True,True,2022,"laptop, phone","Dell, Apple","1965 Jacobs Branch Apt. 418, Timburgh",Unknown,Unknown,Unknown
17,Stephen Lyons,19,,76.0,,New Adam,yourself,2009-10-13 02:20:00,data-sciens,110,active,,good,110.0,1984-12-04 09:17:45,UZ 100399 Tashkent Joehaven,"{'hobbies': ['nothing', 'community'], 'skills': {'tech': {'python': 1, 'excel': 1, 'sql': 5}, 'soft': ['wear', 'will']}, 'family': {'siblings': 1, 'income': {'father': 772, 'mother': 498}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]}",False,invalid_format,,,,"nothing, community",1.0,1.0,5.0,2.0,"wear, will",1.0,772.0,498.0,1270.0,2,True,True,2023,"laptop, phone","Lenovo, Apple",UZ 100399 Tashkent Joehaven,100399,Tashkent,Unknown
18,Zachary Lyons,18,male,68.0,(242)552-5722,Chenport,sport,2003-09-25 00:00:00,data_sciense,110,inactive,,average,138.0,1997-08-27 00:00:00,"Apartment 22, Port Kevin district, Tashkent, UZ, 100106",INVALID_JSON_DATA,False,invalid_format,2425525722,+998 42 552 57 22,Unknown,,,,,,,,,,,0,False,False,0,,,"Apartment 22, Port Kevin district, Tashkent, UZ, 100106",100106,Tashkent,Kevin
19,,20,fmale,50.0,+1-179-099-6883,West Danaville,down,1974-02-20 00:00:00,data_sciense,110,active,3.05,excellent,6600.0,1976-05-07 00:00:00,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA,False,invalid_format,11790996883,+998 79 099 68 83,Unknown,,,,,,,,,,,0,False,False,0,,,"BROKEN,ADDRESS,DATA,,,",Unknown,Unknown,Unknown
20,Anthony Hardy,20,male,,669-272-8730x1241,Kimport,voice,1973-05-20 19:05:00,ds,65,pending,,excellent,218.0,2021-07-23 07:23:13,"Masontown 10-kv, dom 21, Tashkent","{'hobbies': ['certainly', 'defense'], 'skills': {'tech': {'python': 5, 'excel': 2, 'sql': 4}, 'soft': ['medical', 'quality']}, 'family': {'siblings': 4, 'income': {'father': 1220, 'mother': 1220}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2018}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]}",False,invalid_format,66927287301241,+998 28 730 12 41,Unknown,"certainly, defense",5.0,2.0,4.0,2.0,"medical, quality",4.0,1220.0,1220.0,2440.0,2,True,True,2019,"laptop, phone","Lenovo, Apple","Masontown 10-kv, dom 21, Tashkent",Unknown,Tashkent,Unknown
21,Hector Beltran,20,male,52.0,,North Harry,preid@hotmail.com,2010-02-02 00:00:00,DATA SCIENCE,110,active,15.5,good,153.0,1983-03-31 17:15:15,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA,True,valid,,,,,,,,,,,,,,0,False,False,0,,,"BROKEN,ADDRESS,DATA,,,",Unknown,Unknown,Unknown
22,Tara Nguyen,22,,73.0,038.874.2999x225,Brittanychester,rrodriguez@@newman.com,2000-06-04 17:46:54,Pyhton,78,inactive,,excellent,174.0,2020-11-26 00:00:00,UZ 100063 Tashkent Lake Shaneland,"{'hobbies': ['create', 'accept'], 'skills': {'tech': {'python': 1, 'excel': 3, 'sql': 1}, 'soft': ['new', 'manager']}, 'family': {'siblings': 3, 'income': {'father': 1140, 'mother': 1117}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2018}]}",False,invalid_format,0388742999225,+998 74 299 92 25,Unknown,"create, accept",1.0,3.0,1.0,2.0,"new, manager",3.0,1140.0,1117.0,2257.0,2,True,True,2018,"laptop, phone","Dell, Xiaomi",UZ 100063 Tashkent Lake Shaneland,100063,Tashkent,Unknown
23,Jessica Robinson,22,Male,,+1-169-715-0937x68300,Jonesfurt,,2010-05-10 12:48:00,ds,81,inactive,37.0,good,26100.0,2005-06-09 00:00:00,"0451 James Cliffs Suite 725, Wagnermouth","{hobbies:['type', 'beautiful']}",False,missing,1169715093768300,+998 09 376 83 00,Unknown,,,,,,,,,,,0,False,False,0,,,"0451 James Cliffs Suite 725, Wagnermouth",Unknown,Unknown,Unknown
24,Latoya Williams,18,male,60.0,,North Ashleyborough,,2021-08-06 11:33:00,data science,110,pending,37.0,excellent,14800.0,2021-11-12 15:59:30,"0258 Sean Keys Apt. 380, Kevinfort","{'hobbies': ['step', 'section'], 'skills': {'tech': {'python': 1, 'excel': 5, 'sql': 3}, 'soft': ['beat', 'popular']}, 'family': {'siblings': 0, 'income': {'father': 1376, 'mother': 871}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]}",False,missing,,,,"step, section",1.0,5.0,3.0,2.0,"beat, popular",0.0,1376.0,871.0,2247.0,2,True,True,2022,"laptop, phone","Dell, Xiaomi","0258 Sean Keys Apt. 380, Kevinfort",Unknown,Unknown,Unknown
25,,21,,,,Donnaview,urodriguez@@ferrell.com,2025-03-08 00:00:00,data science,,pending,15.5,excellent,135.0,2000-07-16 13:07:00,"06462 Buck Springs Apt. 169, North Lisa","{'hobbies': ['phone', 'consider'], 'skills': {'tech': {'python': 1, 'excel': 3, 'sql': 2}, 'soft': ['must', 'around']}, 'family': {'siblings': 0, 'income': {'father': 1453, 'mother': 206}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2019}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2020}]}",False,invalid_format,,,,"phone, consider",1.0,3.0,2.0,2.0,"must, around",0.0,1453.0,206.0,1659.0,2,True,True,2020,"laptop, phone","Lenovo, Xiaomi","06462 Buck Springs Apt. 169, North Lisa",06462,Unknown,Unknown
26,,21,fmale,,,Harrisbury,about,2022-07-18 17:43:00,ds,96,pending,15.5,good,29900.0,2001-02-12 00:00:00,"Apartment 20, Lake Crystal district, Tashkent, UZ, 100119","{'hobbies': ['tough', 'role'], 'skills': {'tech': {'python': 3, 'excel': 1, 'sql': 2}, 'soft': ['south', 'his']}, 'family': {'siblings': 1, 'income': {'father': 623, 'mother': 577}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]}",False,invalid_format,,,,"tough, role",3.0,1.0,2.0,2.0,"south, his",1.0,623.0,577.0,1200.0,2,True,True,2022,"laptop, phone","Dell, Apple","Apartment 20, Lake Crystal district, Tashkent, UZ, 100119",100119,Tashkent,Crystal
27,Emily Cummings,22,female,59.0,,East Dariuston,direction,2023-04-28 18:06:01,python,,inactive,1.18,average,245.0,2000-12-24 00:42:00,"Apartment 27, South David district, Tashkent, UZ, 100696","{""hobbies"": [""billion"", ""feeling""], ""skills"": {""tech"": {""python"": 3, ""excel"": 1, ""sql"": 3}, ""soft"": [""thought"", ""particularly""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 303, ""mother"": 1245}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2023}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2023}]}",False,invalid_format,,,,"billion, feeling",3.0,1.0,3.0,2.0,"thought, particularly",4.0,303.0,1245.0,1548.0,2,True,True,2023,"laptop, phone","Lenovo, Samsung","Apartment 27, South David district, Tashkent, UZ, 100696",100696,Tashkent,David
28,Brandy Powell,,,87.0,404.233.0292x9740,Oconnellburgh,benjamincollins@@davis.info,2000-07-27 00:00:00,Pyhton,107,inactive,,excellent,285.0,2014-07-31 11:40:00,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['energy', 'however'], 'skills': {'tech': {'python': 2, 'excel': 1, 'sql': 3}, 'soft': ['either', 'plan']}, 'family': {'siblings': 4, 'income': {'father': 1105, 'mother': 1106}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Samsung', 'year': 2022}]}",False,invalid_format,40423302929740,+998 30 292 97 40,Unknown,"energy, however",2.0,1.0,3.0,2.0,"either, plan",4.0,1105.0,1106.0,2211.0,2,True,True,2023,"laptop, phone","Lenovo, Samsung","BROKEN,ADDRESS,DATA,,,",Unknown,Unknown,Unknown
29,,21,male,88.0,(521)168-1029x21287,West Rachel,elizabeth49@yahoo.com,2014-09-19 00:00:00,ds,,inactive,,,295.0,1992-05-20 00:00:00,"241 Sarah Spring, Bridgetton",INVALID_JSON_DATA,True,valid,521168102921287,+998 10 292 12 87,Unknown,,,,,,,,,,,0,False,False,0,,,"241 Sarah Spring, Bridgetton",Unknown,Unknown,Unknown
30,Jaime Rowe,,femlae,69.0,046-892-9598x929,Shepardmouth,eolson@carr.net,1972-01-29 01:01:06,Data Science,64,pending,37.0,average,294.0,2022-04-24 08:54:19,"Port Robertstad 16-kv, dom 50, Tashkent","{'hobbies': ['woman', 'wear'], 'skills': {'tech': {'python': 4, 'excel': 5, 'sql': 3}, 'soft': ['reduce', 'than']}, 'family': {'siblings': 4, 'income': {'father': 1291, 'mother': 913}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2024}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]}",True,valid,0468929598929,+998 92 959 89 29,Uzbektelecom,"woman, wear",4.0,5.0,3.0,2.0,"reduce, than",4.0,1291.0,913.0,2204.0,2,True,True,2024,"laptop, phone","Lenovo, Xiaomi","Port Robertstad 16-kv, dom 50, Tashkent",Unknown,Tashkent,Unknown
31,Brianna Castro,21,,,,East Regina,?ali@@gmail..com,2007-10-13 09:29:00,data science,110,pending,-2.0,average,63.0,1970-09-12 00:00:00,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA,False,invalid_format,,,,,,,,,,,,,,0,False,False,0,,,"BROKEN,ADDRESS,DATA,,,",Unknown,Unknown,Unknown
32,April Johnson,20,male,,0548293587,Andersontown,daniel21@@hotmail.com,2021-11-27 01:13:12,PYTHNO,110,active,-2.0,good,289.0,2022-04-21 06:18:32,"Apartment 42, Christineburgh district, Tashkent, UZ, 100686","{'hobbies': ['material', 'relate'], 'skills': {'tech': {'python': 5, 'excel': 3, 'sql': 3}, 'soft': ['against', 'history']}, 'family': {'siblings': 4, 'income': {'father': 1124, 'mother': 1323}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2018}]}",False,invalid_format,0548293587,+998 54 829 35 87,Unknown,"material, relate",5.0,3.0,3.0,2.0,"against, history",4.0,1124.0,1323.0,2447.0,2,True,True,2023,"laptop, phone","Dell, Apple","Apartment 42, Christineburgh district, Tashkent, UZ, 100686",100686,Tashkent,Christineburgh
33,Joyce Franklin,20,FEMALE,60.0,618.090.5816x281,South Brittany,exist,2000-06-29 21:16:26,Data Science,66,inactive,15.5,excellent,57.0,1982-05-31 00:00:00,"New Antonio 12-kv, dom 41, Tashkent","{""hobbies"": [""run"", ""case""], ""skills"": {""tech"": {""python"": 4, ""excel"": 2, ""sql"": 3}, ""soft"": [""rock"", ""never""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 1009, ""mother"": 1369}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2022}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2020}]}",False,invalid_format,6180905816281,+998 90 581 62 81,Beeline,"run, case",4.0,2.0,3.0,2.0,"rock, never",4.0,1009.0,1369.0,2378.0,2,True,True,2022,"laptop, phone","Dell, Xiaomi","New Antonio 12-kv, dom 41, Tashkent",Unknown,Tashkent,Unknown
34,,20,female,,,Hillmouth,?ali@@gmail..com,1983-05-24 00:00:00,data_sciense,67,active,37.0,excellent,17200.0,1975-06-08 00:00:00,UZ 100883 Tashkent West Michaelport,"{'hobbies': ['decide', 'least'], 'skills': {'tech': {'python': 5, 'excel': 5, 'sql': 2}, 'soft': ['mouth', 'laugh']}, 'family': {'siblings': 4, 'income': {'father': 763, 'mother': 1393}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2019}, {'type': 'phone', 'brand': 'Samsung', 'year': 2020}]}",False,invalid_format,,,,"decide, least",5.0,5.0,2.0,2.0,"mouth, laugh",4.0,763.0,1393.0,2156.0,2,True,True,2020,"laptop, phone","HP, Samsung",UZ 100883 Tashkent West Michaelport,100883,Tashkent,Unknown
35,,22,FEMALE,,(356)552-3035x22091,North Maryfort,,2008-01-25 20:03:00,data science,110,pending,-2.0,,136.0,1998-08-30 02:53:00,UZ 100652 Tashkent Lake Donaldton,INVALID_JSON_DATA,False,missing,356552303522091,+998 30 352 20 91,Unknown,,,,,,,,,,,0,False,False,0,,,UZ 100652 Tashkent Lake Donaldton,100652,Tashkent,Unknown
36,,22,,87.0,001-893-021-7782x51647,North Gerald,?ali@@gmail..com,2018-11-11 00:00:00,python,110,inactive,15.5,average,202.0,2024-12-18 00:00:00,"North Amy 11-kv, dom 49, Tashkent","{""hobbies"": [""stay"", ""even""], ""skills"": {""tech"": {""python"": 3, ""excel"": 5, ""sql"": 3}, ""soft"": [""generation"", ""group""]}, ""family"": {""siblings"": 1, ""income"": {""father"": 219, ""mother"": 1344}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2017}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2021}]}",False,invalid_format,001893021778251647,+998 77 825 16 47,Unknown,"stay, even",3.0,5.0,3.0,2.0,"generation, group",1.0,219.0,1344.0,1563.0,2,True,True,2021,"laptop, phone","Dell, Apple","North Amy 11-kv, dom 49, Tashkent",Unknown,Tashkent,Unknown
37,Jeremy Fry,18,femlae,,(773)180-2562x2965,New Kent,mccoyandrew@yahoo.com,2023-08-30 22:57:05,data science,110,pending,,average,157.0,1971-02-04 00:00:00,"Apartment 49, New Ian district, Tashkent, UZ, 100606","{hobbies:['score', 'bar']}",True,valid,77318025622965,+998 02 562 29 65,Unknown,,,,,,,,,,,0,False,False,0,,,"Apartment 49, New Ian district, Tashkent, UZ, 100606",100606,Tashkent,Ian
38,Christopher Sosa,20,male,,001-138-648-1737x665,New Aliceland,stock,2022-08-12 00:00:00,d.s.,67,active,,excellent,242.0,1970-02-17 19:58:04,"Apartment 22, Youngton district, Tashkent, UZ, 100192","{""hobbies"": [""art"", ""learn""], ""skills"": {""tech"": {""python"": 3, ""excel"": 2, ""sql"": 3}, ""soft"": [""write"", ""alone""]}, ""family"": {""siblings"": 2, ""income"": {""father"": 1354, ""mother"": 448}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2024}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2020}]}",False,invalid_format,0011386481737665,+998 48 173 76 65,Unknown,"art, learn",3.0,2.0,3.0,2.0,"write, alone",2.0,1354.0,448.0,1802.0,2,True,True,2024,"laptop, phone","Lenovo, Samsung","Apartment 22, Youngton district, Tashkent, UZ, 100192",100192,Tashkent,Youngton
39,David Duke,20,fmale,,526-677-6949,Harrishaven,baguilar@@hotmail.com,2004-09-26 00:00:00,python,110,active,,excellent,159.0,2022-05-25 01:20:33,UZ 100766 Tashkent Port William,"{hobbies:['challenge', 'trouble']}",False,invalid_format,5266776949,+998 26 677 69 49,Unknown,,,,,,,,,,,0,False,False,0,,,UZ 100766 Tashkent Port William,100766,Tashkent,Unknown
40,Sara Page,20,fmale,71.0,,West William,edgar27@phillips-martin.info,2022-03-26 05:45:17,python,110,inactive,,,140.0,1993-10-06 00:00:00,"73317 Timothy Port Suite 163, Dicksonbury","{""hobbies"": [""imagine"", ""middle""], ""skills"": {""tech"": {""python"": 3, ""excel"": 4, ""sql"": 4}, ""soft"": [""begin"", ""movement""]}, ""family"": {""siblings"": 5, ""income"": {""father"": 270, ""mother"": 255}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2020}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2021}]}",True,valid,,,,"imagine, middle",3.0,4.0,4.0,2.0,"begin, movement",5.0,270.0,255.0,525.0,2,True,True,2021,"laptop, phone","Lenovo, Apple","73317 Timothy Port Suite 163, Dicksonbury",73317,Unknown,Unknown
41,,19,male,,,West Georgefort,,1975-12-17 00:00:00,data_sciense,,active,15.5,average,225.0,2021-04-03 02:43:08,"4613 Robert Cliff Suite 875, South Leslie","{""hobbies"": [""particular"", ""turn""], ""skills"": {""tech"": {""python"": 1, ""excel"": 4, ""sql"": 2}, ""soft"": [""trip"", ""toward""]}, ""family"": {""siblings"": 5, ""income"": {""father"": 1364, ""mother"": 1312}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2017}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2019}]}",False,missing,,,,"particular, turn",1.0,4.0,2.0,2.0,"trip, toward",5.0,1364.0,1312.0,2676.0,2,True,True,2019,"laptop, phone","HP, Xiaomi","4613 Robert Cliff Suite 875, South Leslie",Unknown,Unknown,Unknown
